"GMD","Team","Year","Result","For","Aga","Diff","HTf","HTa","Opposition","Ground","Match.Date","diff.Date","Year.WR","TO.6Day","Team.Opp","diff.Date.Opp","Year.WR.Opp","TO.6Day.Opp","diff.Date.adv"
"Millennium Stadium 26-Feb-10","Wales","10","lost",20,26,-6,0,20,"v France","Millennium Stadium","26-Feb-10",13,0.4,FALSE,"France",13,1,FALSE,0
"Rome 27-Feb-10","Italy","10","won",16,12,4,6,6,"v Scotland","Rome","27-Feb-10",13,0.2,FALSE,"Scotland",14,0.2,FALSE,-1
"Twickenham 27-Feb-10","England","10","lost",16,20,-4,6,8,"v Ireland","Twickenham","27-Feb-10",13,0.4,FALSE,"Ireland",14,0.6,FALSE,-1
"Croke Park 13-Mar-10","Ireland","10","won",27,12,15,16,6,"v Wales","Croke Park","13-Mar-10",14,0.6,FALSE,"Wales",15,0.4,FALSE,-1
"Murrayfield 13-Mar-10","Scotland","10","draw",15,15,0,9,6,"v England","Murrayfield","13-Mar-10",14,0.2,FALSE,"England",14,0.4,FALSE,0
"Stade de France 14-Mar-10","France","10","won",46,20,26,22,3,"v Italy","Stade de France","14-Mar-10",16,1,FALSE,"Italy",15,0.2,FALSE,1
"Croke Park 20-Mar-10","Ireland","10","lost",20,23,-3,7,14,"v Scotland","Croke Park","20-Mar-10",7,0.6,FALSE,"Scotland",7,0.2,FALSE,0
"Millennium Stadium 20-Mar-10","Wales","10","won",33,10,23,12,0,"v Italy","Millennium Stadium","20-Mar-10",7,0.4,FALSE,"Italy",6,0.2,TRUE,1
"Stade de France 20-Mar-10","France","10","won",12,10,2,12,7,"v England","Stade de France","20-Mar-10",6,1,TRUE,"England",7,0.4,FALSE,-1
"Millennium Stadium 04-Feb-11","Wales","11","lost",19,26,-7,6,13,"v England","Millennium Stadium","04-Feb-11",321,0.6,FALSE,"England",321,0.8,FALSE,0
"Rome 05-Feb-11","Italy","11","lost",11,13,-2,6,3,"v Ireland","Rome","05-Feb-11",322,0.2,FALSE,"Ireland",322,0.6,FALSE,0
"Stade de France 05-Feb-11","France","11","won",34,21,13,17,7,"v Scotland","Stade de France","05-Feb-11",322,0.6,FALSE,"Scotland",322,0.2,FALSE,0
"Murrayfield 12-Feb-11","Scotland","11","lost",6,24,-18,3,16,"v Wales","Murrayfield","12-Feb-11",7,0.2,FALSE,"Wales",8,0.6,FALSE,-1
"Twickenham 12-Feb-11","England","11","won",59,13,46,31,6,"v Italy","Twickenham","12-Feb-11",8,0.8,FALSE,"Italy",7,0.2,FALSE,1
"Lansdowne Road 13-Feb-11","Ireland","11","lost",22,25,-3,15,12,"v France","Lansdowne Road","13-Feb-11",8,0.6,FALSE,"France",8,0.6,FALSE,0
"Rome 26-Feb-11","Italy","11","lost",16,24,-8,11,21,"v Wales","Rome","26-Feb-11",14,0.2,FALSE,"Wales",14,0.6,FALSE,0
"Twickenham 26-Feb-11","England","11","won",17,9,8,9,9,"v France","Twickenham","26-Feb-11",14,0.8,FALSE,"France",13,0.6,FALSE,1
"Murrayfield 27-Feb-11","Scotland","11","lost",18,21,-3,9,14,"v Ireland","Murrayfield","27-Feb-11",15,0.2,FALSE,"Ireland",14,0.6,FALSE,1
"Millennium Stadium 12-Mar-11","Wales","11","won",19,13,6,9,13,"v Ireland","Millennium Stadium","12-Mar-11",14,0.6,FALSE,"Ireland",13,0.6,FALSE,1
"Rome 12-Mar-11","Italy","11","won",22,21,1,6,8,"v France","Rome","12-Mar-11",14,0.2,FALSE,"France",14,0.6,FALSE,0
"Twickenham 13-Mar-11","England","11","won",22,16,6,9,9,"v Scotland","Twickenham","13-Mar-11",15,0.8,FALSE,"Scotland",14,0.2,FALSE,1
"Lansdowne Road 19-Mar-11","Ireland","11","won",24,8,16,17,3,"v England","Lansdowne Road","19-Mar-11",7,0.6,FALSE,"England",6,0.8,TRUE,1
"Murrayfield 19-Mar-11","Scotland","11","won",21,8,13,6,8,"v Italy","Murrayfield","19-Mar-11",6,0.2,TRUE,"Italy",7,0.2,FALSE,-1
"Stade de France 19-Mar-11","France","11","won",28,9,19,11,3,"v Wales","Stade de France","19-Mar-11",7,0.6,FALSE,"Wales",7,0.6,FALSE,0
"Murrayfield 04-Feb-12","Scotland","12","lost",6,13,-7,6,3,"v England","Murrayfield","04-Feb-12",322,0,FALSE,"England",322,0.8,FALSE,0
"Stade de France 04-Feb-12","France","12","won",30,12,18,15,6,"v Italy","Stade de France","04-Feb-12",322,0.4,FALSE,"Italy",322,0.2,FALSE,0
"Lansdowne Road 05-Feb-12","Ireland","12","lost",21,23,-2,10,5,"v Wales","Lansdowne Road","05-Feb-12",323,0.4,FALSE,"Wales",323,1,FALSE,0
"Rome 11-Feb-12","Italy","12","lost",15,19,-4,12,6,"v England","Rome","11-Feb-12",7,0.2,FALSE,"England",7,0.8,FALSE,0
"Millennium Stadium 12-Feb-12","Wales","12","won",27,13,14,3,3,"v Scotland","Millennium Stadium","12-Feb-12",7,1,FALSE,"Scotland",8,0,FALSE,-1
"Lansdowne Road 25-Feb-12","Ireland","12","won",42,10,32,17,10,"v Italy","Lansdowne Road","25-Feb-12",20,0.4,FALSE,"Italy",14,0.2,FALSE,6
"Twickenham 25-Feb-12","England","12","lost",12,19,-7,9,6,"v Wales","Twickenham","25-Feb-12",14,0.8,FALSE,"Wales",13,1,FALSE,1
"Murrayfield 26-Feb-12","Scotland","12","lost",17,23,-6,10,10,"v France","Murrayfield","26-Feb-12",14,0,FALSE,"France",22,0.4,FALSE,-8
"Stade de France 04-Mar-12","France","12","draw",17,17,0,6,17,"v Ireland","Stade de France","04-Mar-12",7,0.4,FALSE,"Ireland",8,0.4,FALSE,-1
"Lansdowne Road 10-Mar-12","Ireland","12","won",32,14,18,22,14,"v Scotland","Lansdowne Road","10-Mar-12",6,0.4,TRUE,"Scotland",13,0,FALSE,-7
"Millennium Stadium 10-Mar-12","Wales","12","won",24,3,21,9,3,"v Italy","Millennium Stadium","10-Mar-12",14,1,FALSE,"Italy",14,0.2,FALSE,0
"Stade de France 11-Mar-12","France","12","lost",22,24,-2,9,14,"v England","Stade de France","11-Mar-12",7,0.4,FALSE,"England",15,0.8,FALSE,-8
"Millennium Stadium 17-Mar-12","Wales","12","won",16,9,7,10,3,"v France","Millennium Stadium","17-Mar-12",7,1,FALSE,"France",6,0.4,TRUE,1
"Rome 17-Mar-12","Italy","12","won",13,6,7,3,3,"v Scotland","Rome","17-Mar-12",7,0.2,FALSE,"Scotland",7,0,FALSE,0
"Twickenham 17-Mar-12","England","12","won",30,9,21,9,6,"v Ireland","Twickenham","17-Mar-12",6,0.8,TRUE,"Ireland",7,0.4,FALSE,-1
"Millennium Stadium 02-Feb-13","Wales","13","lost",22,30,-8,3,23,"v Ireland","Millennium Stadium","02-Feb-13",322,0.8,FALSE,"Ireland",322,0.2,FALSE,0
"Twickenham 02-Feb-13","England","13","won",38,18,20,19,11,"v Scotland","Twickenham","02-Feb-13",322,0.8,FALSE,"Scotland",322,0.4,FALSE,0
"Rome 03-Feb-13","Italy","13","won",23,18,5,13,15,"v France","Rome","03-Feb-13",323,0.4,FALSE,"France",323,0.2,FALSE,0
"Murrayfield 09-Feb-13","Scotland","13","won",34,10,24,13,3,"v Italy","Murrayfield","09-Feb-13",7,0.4,FALSE,"Italy",6,0.4,TRUE,1
"Stade de France 09-Feb-13","France","13","lost",6,16,-10,3,3,"v Wales","Stade de France","09-Feb-13",6,0.2,TRUE,"Wales",7,0.8,FALSE,-1
"Lansdowne Road 10-Feb-13","Ireland","13","lost",6,12,-6,0,6,"v England","Lansdowne Road","10-Feb-13",8,0.2,FALSE,"England",8,0.8,FALSE,0
"Rome 23-Feb-13","Italy","13","lost",9,26,-17,6,9,"v Wales","Rome","23-Feb-13",14,0.4,FALSE,"Wales",14,0.8,FALSE,0
"Twickenham 23-Feb-13","England","13","won",23,13,10,9,10,"v France","Twickenham","23-Feb-13",13,0.8,FALSE,"France",14,0.2,FALSE,-1
"Murrayfield 24-Feb-13","Scotland","13","won",12,8,4,0,3,"v Ireland","Murrayfield","24-Feb-13",15,0.4,FALSE,"Ireland",14,0.2,FALSE,1
"Lansdowne Road 09-Mar-13","Ireland","13","draw",13,13,0,13,3,"v France","Lansdowne Road","09-Mar-13",13,0.2,FALSE,"France",14,0.2,FALSE,-1
"Murrayfield 09-Mar-13","Scotland","13","lost",18,28,-10,12,13,"v Wales","Murrayfield","09-Mar-13",13,0.4,FALSE,"Wales",14,0.8,FALSE,-1
"Twickenham 10-Mar-13","England","13","won",18,11,7,12,3,"v Italy","Twickenham","10-Mar-13",15,0.8,FALSE,"Italy",15,0.4,FALSE,0
"Millennium Stadium 16-Mar-13","Wales","13","won",30,3,27,9,3,"v England","Millennium Stadium","16-Mar-13",7,0.8,FALSE,"England",6,0.8,TRUE,1
"Rome 16-Mar-13","Italy","13","won",22,15,7,9,6,"v Ireland","Rome","16-Mar-13",6,0.4,TRUE,"Ireland",7,0.2,FALSE,-1
"Stade de France 16-Mar-13","France","13","won",23,16,7,0,6,"v Scotland","Stade de France","16-Mar-13",7,0.2,FALSE,"Scotland",7,0.4,FALSE,0
"Millennium Stadium 01-Feb-14","Wales","14","won",23,15,8,17,3,"v Italy","Millennium Stadium","01-Feb-14",322,0.6,FALSE,"Italy",322,0,FALSE,0
"Stade de France 01-Feb-14","France","14","won",26,24,2,16,8,"v England","Stade de France","01-Feb-14",322,0.6,FALSE,"England",322,0.8,FALSE,0
"Lansdowne Road 02-Feb-14","Ireland","14","won",28,6,22,11,3,"v Scotland","Lansdowne Road","02-Feb-14",323,0.8,FALSE,"Scotland",323,0.2,FALSE,0
"Lansdowne Road 08-Feb-14","Ireland","14","won",26,3,23,13,0,"v Wales","Lansdowne Road","08-Feb-14",6,0.8,TRUE,"Wales",7,0.6,FALSE,-1
"Murrayfield 08-Feb-14","Scotland","14","lost",0,20,-20,0,13,"v England","Murrayfield","08-Feb-14",6,0.2,TRUE,"England",7,0.8,FALSE,-1
"Stade de France 09-Feb-14","France","14","won",30,10,20,9,3,"v Italy","Stade de France","09-Feb-14",8,0.6,FALSE,"Italy",8,0,FALSE,0
"Millennium Stadium 21-Feb-14","Wales","14","won",27,6,21,20,6,"v France","Millennium Stadium","21-Feb-14",13,0.6,FALSE,"France",12,0.6,FALSE,1
"Rome 22-Feb-14","Italy","14","lost",20,21,-1,13,3,"v Scotland","Rome","22-Feb-14",13,0,FALSE,"Scotland",14,0.2,FALSE,-1
"Twickenham 22-Feb-14","England","14","won",13,10,3,3,0,"v Ireland","Twickenham","22-Feb-14",14,0.8,FALSE,"Ireland",14,0.8,FALSE,0
"Lansdowne Road 08-Mar-14","Ireland","14","won",46,7,39,17,7,"v Italy","Lansdowne Road","08-Mar-14",14,0.8,FALSE,"Italy",14,0,FALSE,0
"Murrayfield 08-Mar-14","Scotland","14","lost",17,19,-2,14,9,"v France","Murrayfield","08-Mar-14",14,0.2,FALSE,"France",15,0.6,FALSE,-1
