"GMD","Team","Year","Result","For","Aga","Diff","HTf","HTa","Opposition","Ground","Match.Date","diff.Date","Year.WR","TO.6Day","Team.Opp","diff.Date.Opp","Year.WR.Opp","TO.6Day.Opp","diff.Date.adv"
"Millennium Stadium 11-Feb-17","Wales","17","lost",16,21,-5,13,8,"v England","Millennium Stadium","11-Feb-17",6,0.4,TRUE,"England",7,0.8,FALSE,-1
"Rome 11-Feb-17","Italy","17","lost",10,63,-53,10,28,"v Ireland","Rome","11-Feb-17",6,0,TRUE,"Ireland",7,0.6,FALSE,-1
"Stade de France 12-Feb-17","France","17","won",22,16,6,13,11,"v Scotland","Stade de France","12-Feb-17",8,0.6,FALSE,"Scotland",8,0.6,FALSE,0
"Lansdowne Road 25-Feb-17","Ireland","17","won",19,9,10,7,6,"v France","Lansdowne Road","25-Feb-17",14,0.6,FALSE,"France",13,0.6,FALSE,1
"Murrayfield 25-Feb-17","Scotland","17","won",29,13,16,9,13,"v Wales","Murrayfield","25-Feb-17",13,0.6,FALSE,"Wales",14,0.4,FALSE,-1
"Twickenham 26-Feb-17","England","17","won",36,15,21,5,10,"v Italy","Twickenham","26-Feb-17",15,0.8,FALSE,"Italy",15,0,FALSE,0
"Millennium Stadium 10-Mar-17","Wales","17","won",22,9,13,8,6,"v Ireland","Millennium Stadium","10-Mar-17",13,0.4,FALSE,"Ireland",13,0.6,FALSE,0
"Rome 11-Mar-17","Italy","17","lost",18,40,-22,11,16,"v France","Rome","11-Mar-17",13,0,FALSE,"France",14,0.6,FALSE,-1
"Twickenham 11-Mar-17","England","17","won",61,21,40,30,7,"v Scotland","Twickenham","11-Mar-17",13,0.8,FALSE,"Scotland",14,0.6,FALSE,-1
"Lansdowne Road 18-Mar-17","Ireland","17","won",13,9,4,10,3,"v England","Lansdowne Road","18-Mar-17",8,0.6,FALSE,"England",7,0.8,FALSE,1
"Murrayfield 18-Mar-17","Scotland","17","won",29,0,29,15,0,"v Italy","Murrayfield","18-Mar-17",7,0.6,FALSE,"Italy",7,0,FALSE,0
"Stade de France 18-Mar-17","France","17","won",20,18,2,10,9,"v Wales","Stade de France","18-Mar-17",7,0.6,FALSE,"Wales",8,0.4,FALSE,-1
"Millennium Stadium 03-Feb-18","Wales","18","won",34,7,27,14,0,"v Scotland","Millennium Stadium","03-Feb-18",322,1,FALSE,"Scotland",322,0,FALSE,0
"Stade de France 03-Feb-18","France","18","lost",13,15,-2,3,9,"v Ireland","Stade de France","03-Feb-18",322,0,FALSE,"Ireland",322,1,FALSE,0
"Rome 04-Feb-18","Italy","18","lost",15,46,-31,10,17,"v England","Rome","04-Feb-18",323,0,FALSE,"England",323,1,FALSE,0
